subject,unit,type,question,passage,choices,answer,altAnswers,explanation
kokugo,漢字（読み）,choice,「複雑」の読み方は？,,ふくざつ|ふくぞう|ふくさつ|ふくさい,0,,複雑（ふくざつ）。「複」は「ふく」、「雑」は「ざつ」と読みます。
kokugo,漢字（読み）,choice,「遺産」の読み方は？,,いさん|ゆいさん|ゆいざん|いざん,0,,遺産（いさん）。「遺」は「のこす」という意味で「い」と読みます。
kokugo,漢字（読み）,choice,「憂鬱」の読み方は？,,ゆううつ|ゆうわつ|ゆうきつ|きゅううつ,0,,憂鬱（ゆううつ）。気持ちがふさぎこむようすを表します。書くのが難しい漢字の代表例です。
kokugo,漢字（読み）,choice,「矛盾」の読み方は？,,むじゅん|もじゅん|むずかん|むじかん,0,,矛盾（むじゅん）。つじつまが合わないことを指します。中国の故事から来た言葉です。
kokugo,漢字（読み）,choice,「美術」の読み方は？,,びじゅつ|うつくしい|けいじゅつ|びじょ,0,,美術（びじゅつ）は絵画・彫刻など視覚芸術の総称です。
kokugo,漢字（読み）,choice,「功績」の読み方は？,,こうせき|きょうせき|こうさく|くんせき,0,,功績（こうせき）。立派な仕事の結果・てがらのことです。
kokugo,漢字（読み）,choice,「存在」の読み方は？,,そんざい|そんじゃい|ぞんざい|ぞんざ,0,,存在（そんざい）。「存」は「そん・ぞん」どちらも読みますが、この熟語では「そん」です。
kokugo,漢字（読み）,choice,「奮闘」の読み方は？,,ふんとう|ふんどう|ぶんとう|ぶんどう,0,,奮闘（ふんとう）。力のかぎりがんばることです。「奮」は「ふん」と読みます。
kokugo,漢字（読み）,choice,「誠実」の読み方は？,,せいじつ|じょうじつ|せいじ|まことじつ,0,,誠実（せいじつ）。うそのない真面目な様子です。
kokugo,漢字（読み）,choice,「暖昧」の読み方は？,,あいまい|だんまい|あんまい|ゆるやか,0,,曖昧（あいまい）。はっきりしない様子を表します。※よく間違える難読語です。
kokugo,漢字（書き）,fill,「かんしゃ」を漢字で書くと？,,,感謝,,「感」＋「謝」。感謝の気持ちを表す大切な漢字です。
kokugo,漢字（書き）,fill,「きょうそう」を漢字で書くと？,,,競争,,「競」は「たがいに張り合う」、「争」は「あらそう」。
kokugo,漢字（書き）,fill,「ぼうけん」を漢字で書くと？,,,冒険,,「冒」は「おかす」、「険」は「けわしい」。危険をおかして進むこと。
kokugo,漢字（書き）,fill,「きかく」を漢字で書くと？,,,企画,,「企」は「くわだてる」、「画」は「はかる・計画する」。
kokugo,漢字（書き）,fill,「おんけい」を漢字で書くと？,,,恩恵,,「恩」は「めぐみ・恩義」、「恵」は「めぐむ」。
kokugo,漢字（書き）,fill,「しんらい」を漢字で書くと？,,,信頼,,「信」は「まこと・信じる」、「頼」は「たよる」。信じてたよること。
kokugo,漢字（書き）,fill,「はつめい」を漢字で書くと？,,,発明,,「発」は「はっする」、「明」は「あきらか」。新しいものを作り出すこと。
kokugo,漢字（書き）,fill,「ていねい」を漢字で書くと？,,,丁寧,,「丁」は「ちょう・てい」、「寧」は「やすらか」。細かく心をこめてすること。
kokugo,漢字（書き）,fill,「そうぞう」を漢字で書くと？,,,想像,,「想」は「おもう」、「像」は「かたち」。頭の中でイメージすること。
kokugo,漢字（書き）,fill,「えいきょう」を漢字で書くと？,,,影響,,「影」は「かげ」、「響」は「ひびく」。他のものに変化をおよぼすこと。
kokugo,語句・慣用句,choice,「石の上にも三年」の意味は？,,つらくても辛抱すれば成功する|石は三年でくずれる|石の上は冷たい|三年間休まずに勉強する,0,,つらいことでも辛抱強く続ければ必ず成果が出るという意味のことわざです。
kokugo,語句・慣用句,choice,「棚からぼたもち」の意味は？,,思いがけない幸運が来ること|努力の結果が実ること|高いところにあるものを取ること|急いでも無駄なこと,0,,何もしていないのに偶然よいことが起きるという意味のことわざです。
kokugo,語句・慣用句,choice,「頭が上がらない」の意味は？,,負い目があって対等に接せない|頭が痛い|考えることができない|謙虚なこと,0,,相手に対して負い目や恩があって、対等に接することができないという意味の慣用句です。
kokugo,語句・慣用句,choice,「二の足を踏む」の意味は？,,ためらって前に進めない|二歩目を踏み出す|二回失敗する|早足で歩く,0,,踏み出そうとして足がとまってしまうことから、決断できずにためらうことを意味します。
kokugo,語句・慣用句,choice,「さじを投げる」の意味は？,,あきらめてやめる|道具を大切にしない|挑戦する|料理をやめる,0,,医者が匙を投げることから、「もうどうにもできない」とあきらめることを表します。
kokugo,語句・慣用句,choice,「猫の手も借りたい」の意味は？,,とても忙しくて誰でもよいから手伝ってほしい|猫が好き|人手が余っている|仕事が少ない,0,,とても忙しくて、猫でもいいから手伝ってほしいほどだ、という意味のことわざです。
kokugo,語句・慣用句,choice,「のどから手が出るほど」の意味は？,,非常にほしいと思うさま|食べ物がおいしい|のどが痛い|手が届かない,0,,のどから手が出るほど＝それほど強くほしいと思うようすを表す慣用句です。
kokugo,語句・慣用句,choice,「焼け石に水」の意味は？,,わずかな援助では効果がないこと|熱い石を冷やすこと|水がたくさんあること|努力が実ること,0,,焼けた石に少しの水をかけても冷えないことから、わずかな力では何の役にも立たないという意味です。
kokugo,語句・慣用句,choice,「急がば回れ」の意味は？,,急ぐときこそ安全な方法を取るべき|急いで走れ|回り道をするな|ゆっくり歩け,0,,急いでいるときこそ、危険な近道より安全な遠回りの方がよい結果になるという意味のことわざです。
kokugo,語句・慣用句,choice,「情けは人のためならず」の正しい意味は？,,人に親切にすると結局自分のためになる|人に優しくしすぎるのはよくない|情けは必要ない|人のために働け,0,,人に親切にすれば、めぐりめぐって自分にもよいことが返ってくるという意味です。よく誤解される慣用句のひとつ。
kokugo,文章読解,choice,「彼はテストの結果を見て思わず窓の外に目をそらした」から読み取れる彼の気持ちは？,彼はテストの結果を見て、思わず窓の外に目をそらした。先生の声が遠く聞こえる気がした。,喜んでいる|現実から逃げたい|退屈している|好奇心が高まっている,1,,「目をそらす」＝直視できないほど動揺。「先生の声が遠く聞こえる」＝心ここにあらず。テスト結果を直視できない恥ずかしさや落胆が読み取れます。
kokugo,文章読解,choice,次の文の「接続詞」として最も適切なものを選びなさい。「何度失敗しても。______、彼女は諦めなかった。」,,しかし|それでも|だから|なぜなら,1,,「それでも」は前の内容に反してもなお続く、という意味を持ちます。逆接・継続の接続詞です。
kokugo,文章読解,choice,「彼の笑顔は作り物のようだった」の意味として最も近いのは？,,本心から笑っていない様子|笑顔が上手な様子|芸術的な笑顔|笑顔が見えない様子,0,,「作り物のよう」＝本物ではない・わざとらしいという比喩表現。心から笑えていない様子を表しています。
kokugo,文章読解,choice,「春の雪は名残雪と呼ばれる」から読み取れることは？,,春の雪には特別な名前がある|春にはよく雪が降る|雪は春にだけ降る|名残雪は冬の雪のこと,0,,「名残雪」は春に降る雪の特別な呼び名で、この文から「春の雪」に特別な名前があることが読み取れます。
kokugo,文章読解,choice,「彼女は口では賛成しながらも、首を縦に振らなかった」の意味は？,,口では賛成しているが実際は反対している|すべてに賛成している|首が痛くて動かせない|うなずくのが苦手,0,,「首を縦に振る」＝うなずく・賛成する。口では賛成しながらうなずかないという矛盾した行動から、本心では反対していることが分かります。
kokugo,文章読解,choice,物語文で「主人公の心情の変化」を読み取るときに最も注目すべき表現は？,,行動・言葉・情景描写|ページ数|登場人物の数|段落の長さ,0,,心情は直接書かれないことが多く、行動・言葉・情景描写に心情が反映されます。これらを手がかりにして読み取ることが読解の基本です。
sansu,計算（整数・分数）,fill,132 × 25 を計算しなさい。,,,3300,,132×25＝132×100÷4＝13200÷4＝3300。25を「100÷4」と考えると速く計算できます。
sansu,計算（整数・分数）,fill,1＋2＋3＋…＋100 の答えを求めなさい。,,,5050,,（1＋100）×100÷2＝101×50＝5050。最初と最後の和×個数÷2で求めます（ガウスの公式）。
sansu,計算（整数・分数）,fill,48 の約数の個数はいくつですか？,,,10,,48＝2⁴×3¹。約数の個数＝（4＋1）×（1＋1）＝10個。素因数分解して指数に1を足してかけます。
sansu,計算（整数・分数）,fill,0.125を分数で表しなさい（最も簡単な形で）。,,,1/8,,0.125×8＝1なので1/8。または125/1000＝1/8。
sansu,計算（整数・分数）,fill,3/4 ÷ 9/8 を計算しなさい（分数で答えること）。,,,2/3,,3/4÷9/8＝3/4×8/9＝24/36＝2/3。割り算は逆数をかけます。
sansu,計算（整数・分数）,fill,36と48の最大公約数を求めなさい。,,,12,,36＝2²×3²、48＝2⁴×3。共通部分の積＝2²×3＝12。
sansu,計算（整数・分数）,fill,4と6と9の最小公倍数を求めなさい。,,,36,,4＝2²、6＝2×3、9＝3²。それぞれの最大の指数をとると2²×3²＝36。
sansu,計算（整数・分数）,fill,2と3/5を仮分数に直しなさい。,,,13/5,,2と3/5＝（2×5＋3）/5＝13/5。
sansu,計算（整数・分数）,fill,(-3/4)＋(-5/6)を計算しなさい（分数で答えること）。,,,−19/12,,通分すると-9/12＋(-10/12)＝-19/12。分母を12にそろえます。
sansu,計算（整数・分数）,fill,√144 を計算しなさい。,,,12,,12×12＝144なので√144＝12。平方数は覚えておくと便利です（1〜20）。
sansu,速さ・距離・時間,fill,時速60kmで2時間30分走ると何km進みますか？,,,150,,2時間30分＝2.5時間。距離＝60×2.5＝150km。「はじき」距離＝速さ×時間。
sansu,速さ・距離・時間,fill,12kmの道のりを分速200mで歩くと何分かかりますか？,,,60,,12km＝12000m。時間＝12000÷200＝60分。単位をそろえることが大切です。
sansu,速さ・距離・時間,fill,毎分80mで15分歩く距離を、毎分120mで走ると何分かかりますか？,,,10,,距離＝80×15＝1200m。時間＝1200÷120＝10分。先に距離を求めるのがポイント。
sansu,速さ・距離・時間,fill,上りに2時間（時速3km）かかった山道を下ると1時間30分かかりました。下りの速さは時速何kmですか？,,,4,,距離＝3×2＝6km。下り速さ＝6÷1.5＝時速4km。
sansu,速さ・距離・時間,fill,AとBが同じ地点から反対方向に歩きます。Aは分速70m、Bは分速80mです。何分後に2人の距離が1500mになりますか？,,,10,,1分間に70＋80＝150m離れます。1500÷150＝10分後。
sansu,速さ・距離・時間,fill,電車が長さ200mのトンネルを通過するのに20秒かかりました。電車の長さを100mとすると、電車の速さは秒速何mですか？,,,15,,電車がトンネルを完全に通過する距離＝200＋100＝300m。速さ＝300÷20＝秒速15m。
sansu,速さ・距離・時間,fill,兄が分速80mで出発して5分後に弟が分速120mで追いかけました。弟は何分後に兄に追いつきますか？,,,10,,兄の先行距離＝80×5＝400m。縮める速さ＝120-80＝40m/分。追いつく時間＝400÷40＝10分。
sansu,割合・比,fill,定価800円の品物を20%引きで買いました。代金はいくらですか？,,,640,,20%引き＝80%の値段。800×0.8＝640円。
sansu,割合・比,fill,40人のクラスで女子が24人です。女子の割合は何%ですか？,,,60,,24÷40＝0.6→60%。割合＝比べる量÷もとにする量。
sansu,割合・比,fill,食塩水200gに食塩が30g溶けています。濃度は何%ですか？,,,15,,濃度(%)＝食塩÷食塩水×100＝30÷200×100＝15%。
sansu,割合・比,fill,原価に30%の利益を乗せて1300円で売りました。原価はいくらですか？,,,1000,,1300÷1.3＝1000円。定価＝原価×1.3なので原価＝定価÷1.3。
sansu,割合・比,fill,A:B＝3:4、B:C＝2:5のとき A:B:C を最も簡単な比で表しなさい。,,,3:4:10,,Bをそろえる：A:B＝6:8、B:C＝8:20。よってA:B:C＝6:8:20＝3:4:10。
sansu,割合・比,fill,ある数の40%が120のとき、その数はいくつですか？,,,300,,□×0.4＝120。□＝120÷0.4＝300。
sansu,割合・比,fill,兄と弟の所持金の比が5:3で、合計3200円です。兄の所持金はいくらですか？,,,2000,,兄の割合＝5/(5+3)＝5/8。3200×5/8＝2000円。
sansu,割合・比,fill,ある商品を定価の15%引きで買ったら680円でした。定価はいくらですか？,,,800,,680÷0.85＝800円。15%引き＝85%の値段なので定価＝売値÷0.85。
sansu,図形,fill,半径5cmの円の面積は何cm²ですか？（π＝3.14）,,,78.5,,円の面積＝半径×半径×π＝5×5×3.14＝78.5cm²。
sansu,図形,fill,底辺8cm・高さ6cmの三角形の面積は何cm²ですか？,,,24,,三角形の面積＝底辺×高さ÷2＝8×6÷2＝24cm²。
sansu,図形,fill,1辺3cmの正方形を底面とし高さ5cmの直方体の体積は何cm³ですか？,,,45,,体積＝底面積×高さ＝（3×3）×5＝9×5＝45cm³。
sansu,図形,fill,平行四辺形の底辺10cm・高さ7cmのとき面積は何cm²ですか？,,,70,,平行四辺形の面積＝底辺×高さ＝10×7＝70cm²。三角形と違って÷2しません。
sansu,図形,fill,正三角形の1辺が6cmのとき周の長さは何cmですか？,,,18,,正三角形は3辺が等しいので6×3＝18cm。
sansu,図形,fill,直径12cmの円の円周は何cmですか？（π＝3.14）,,,37.68,,円周＝直径×π＝12×3.14＝37.68cm。
sansu,図形,fill,台形の上底4cm・下底8cm・高さ5cmのとき面積は何cm²ですか？,,,30,,台形の面積＝（上底＋下底）×高さ÷2＝（4＋8）×5÷2＝12×5÷2＝30cm²。
sansu,図形,fill,半径6cm・高さ10cmの円柱の体積は何cm³ですか？（π＝3.14）,,,1130.4,,底面積＝6×6×3.14＝113.04cm²。体積＝113.04×10＝1130.4cm³。
sansu,場合の数・規則性,fill,1・2・3・4の4枚のカードから3枚を選んで作れる3桁の整数は何通りありますか？,,,24,,4×3×2＝24通り。百の位4択・十の位3択・一の位2択。P(4,3)＝24。
sansu,場合の数・規則性,fill,5人の中から2人を選ぶ組み合わせは何通りですか？,,,10,,C(5,2)＝5×4÷(2×1)＝10通り。組み合わせは順序を考えないので÷2します。
sansu,場合の数・規則性,fill,1・1・2・3・5・8・13…この数列の次の数はいくつですか？,,,21,,フィボナッチ数列。前の2つの数を足した数が次になります。8＋13＝21。
sansu,場合の数・規則性,fill,正方形のマッチ棒を横に並べていきます。1番目:4本・2番目:7本・3番目:10本のとき10番目は何本ですか？,,,31,,1番目4本、毎回3本増える。n番目＝3n＋1。10番目＝3×10＋1＝31本。
sansu,場合の数・規則性,fill,6人が円形に並ぶ円順列は何通りですか？,,,120,,(6-1)!＝5!＝5×4×3×2×1＝120通り。円順列は1人を固定して残りを並べます。
sansu,場合の数・規則性,fill,コインを4回投げたとき、表がちょうど3回出る確率を分数で表しなさい。,,,1/4,,表3回の組み合わせ＝C(4,3)＝4通り。全体＝2⁴＝16通り。確率＝4/16＝1/4。
sansu,場合の数・規則性,fill,1から100までの整数の中で3の倍数は何個ありますか？,,,33,,100÷3＝33あまり1。よって33個。
